fr,en,de,it
attribuer une adresse ip fixe,assign a static IP address,eine feste IP-Adresse zuweisen,assegnare un indirizzo ip fisso
attribution,assignment,zuordnung,assegnazione
attribution des fichiers,file assignment,zuordnung der dateien,assegnazione dei file
attsurcharge broche,spindle overload,Spindel überlastet,sovraccarico mandrino
au besoin recommencer,"if necessary, start again",bei bedarf von vorn beginnen,se necessario ricominciare
au choix,options,zur wahl,a scelta
au choix avantaprès l'usinage,before/after grinding operation as chosen,wahlweise vor/nach der Bearbeitung,a scelta prima/dopo la lavorazione
au clavier,on the keyboard,auf der tastatur,sulla tastiera
au diamètre,to diameter,auf Durchmesser,al diametro
au format stp,in stp format,alphacam dateien im format stp,al formato stp
au maximum cassettes peuvent être montées,a maximum of cassettes can be mounted,maximal kassetten können montiert werden,possono essere montate al massimo cassette
au transformateur dentrée,to the input transformer,zum eingangstrafo und,al trasformatore di entrata
aucun équipement spécial nest requis,no special equipment is required,es ist keine spezielle ausrüstung erforderlich,non sono richiesti equipaggiamenti speciali
aucune,none required,keine,nessuna
aucune mesure ne sera exécutée,no measurement will be taken,es wird keine messung durchgeführt,nessuna misurazione verrà effettuata
aucune modification ne doit être effectuée,no modification must be carried out,keine änderung muss durchgeführt werden,non deve essere effettuata nessuna modifica
aucune pièce ne sera usinée,no parts will be machined,kein werkstück wird bearbeitet,non verrà lavorato nessun pezzo
auto calibration,auto calibration,auto kalibrierung,autocalibratura
auto extinction,automatic power off,automatisches Ausschalten,autospegnimento
auto off,auto off,automatisch aus,auto off
autoloop,autoloop,auto loop,autoloop
automatique,automatic,automatisch,automatico
automatique différé,automatic delayed,automatisch verzögert,automatico differito
automatique direct,automatic direct,automatisch direkt,automatico diretto
autonome,self contained,autonom,autonoma
autre possibilité,other option,andere möglichkeit,altra possibilità
autre références,other references,weitere Referenzen,altre referenze
autres,others,sonstige,altro
autres diamètres disponibles,other diameters available,sonstige verfügbare Durchmesser,altri diametri disponibili
autres documents applicables,other applicable documents,sonstige geltende dokumente,altri documenti applicabili
autres paramètres,optional parameters,zusätzliche parameter,altri parametri
autres valeurs,other values,weitere Merkmale,altri valori
aux agrégats faites attention,pay attention to the aggregates,auf die Aggregate achten,sugli aggregati stare attenti
avance,feedrate,Vorschub,avanzamento
avance c,c feedrate,c geschwindigkeit,avanzamento c
avance oscillation,oscillation feed,vorschub schwingung,avanzamento oscillazione
avance plongée,plunge feedrate,Eintauchvorschub,avanzamento in tuffo
avance rapide,fast feed,Eilgang,avanzamento rapido
avance ébauche,roughing feed,Vorschub Schruppen,avanzamento sgrossatura
avances,feed rates,Vorschübe,avanzamenti
avances affûtage dépouilles,relief grinding feed rates,vorschübe für den hinterschliff freiwinkel,avanzamenti affilatura degli scarichi
avances et vitesses réalistes,realistic feeds and speeds,realistische vorschübe und geschwindigkeiten,avanzamenti e velocità realistici
avances micro outils,feeds for micro tools,vorschübe für mikrowerkzeuge,avanzamenti per micro utensili
avances taillage passe profonde,deep slot grinding feeds,vorschübe für das nuten tiefschleifen,avanzamenti per rettifica scanalature profonde
avances trop lentes,feedrates too slow,Vorschübe zu langsam,avanzamenti troppo lenti
avant,front,vorne,frontale
avant chaque intervention,before each operation,grundsätzlich vor Arbeiten,prima di ogni intervento
avant d'utiliser l'écran,before using the screen,vor dem Aufrufen des Bildschirms,prima di utilizzare lo schermo
avant start,before start,vor dem Start,prima dell'avvio
avantage,advantage,Vorteil,vantaggio
avantages,advantages,vorteile,vantaggi
avantages et inconvénients des différents liants,advantages and disadvantages of different bonds,vor und nachteile der unterschiedlichen bindungen,vantaggi e svantaggi dei diversi leganti
avec appui arrière sur partie conique,with back steadyrest under conical portion,mit hinterer Lünette auf dem Kegelteil,con appoggio posteriore sulla parte conica
aver définition pictogramme,aver pictogram definition,aver Piktogrammdefinition,aver definizione pittogramma
aver protection,aver protection,Aver-Schutz,aver protezione
avertissement,warning,Warnung,avvertimento
avertissement impératif,critical warning,unbedingt zu beachtende warnung,avvertimento tassativo
avis hors service,out of service notice,Außerbetriebsmeldung,avviso fuori servizio
aviser,inform,benachrichtigen,avvisare
avisez,inform,benachrichtigen,avvisare
avoir actionné un bouton poussoir d'arrêt d'urgence,emergency stop pushbutton pressed,der Not-Aus-Taster muss gedrückt sein,premere il pulsante di arresto d'emergenza
avoir des dessins dexemple,have drawings of examples,beispielzeichnungen beschaffen,avere disegni di esempio
avoir des exercices à faire,to have exercises to do,praktische übungen vorbereiten,avere esercizi da fare
avoir exécuté un cycle à vide,dry run completed,Leerlaufzyklus abgeschlossen,ciclo a vuoto completato
avoir les plans à l'avance,obtain the drawings in advance,die Zeichnungen im Voraus beschaffen,procurarsi i disegni in anticipo
avoir mis en place les barreaux,blanks positioned,Rohlinge positioniert,grezzi posizionati
axe,axis,Achse,asse
axe a,A axis,A-Achse,asse A
axe b,b axis,B-Achse,asse B
axe c,c axis,c achse,asse c
axe c actif ou sélectionné,C axis active or selected,C-Achse aktiv oder ausgewählt,asse c attivo e selezionato
axe c pas en position,C axis not in position,Achse C nicht in Position,asse C non in posizione
axe central,central axis,zentrale achse,asse centrale
axe désiré,desired axis,gewünschte Achse,asse desiderato
axe j,axis j,achse j,asse j
axe linéaire,linear axis,linear axis,asse lineare
axe longitudinal,longitudinal axis,Längsachse,asse longitudinale
axe meule,wheel axis,Schleifscheibenachse,asse mola
axe outil,tool axis,Werkzeugachse,asse utensile
axe par axe,axis by axis,eine achse nach der anderen,asse per asse
axe u,u axis,u achse,asse u
axe v,v axis,v achse,asse v
axe v et capteur dittel,v axis and dittel sensor,v achse und dittel sensor,asse v e sensore dittel
axe v limite negative,v axis negative stroke limit,V-Achse negativer Verfahrweg-Endschalter,finecorsa negativo asse v
axe v limite positive,v axis stroke limit,V-Achse Endanschlag positiv,fine corsa positiva asse v
axe v option,axis v optional,v achse option,asse v opzione
axe v option finition,v axis with finishing option,v Achse mit Schlichtoption,asse v opzione finitura
axe vertical,vertical axis,Vertikalachse,asse verticale
axe vl,vl axis,vl achse,asse vl
axe w,W axis,W-Achse,asse W
axe w actif ou sélectionné,active or selected w axis,w achse aktiv oder ausgewählt,asse w attivo e selezionato
axe wl,wl axis,wl achse,asse wl
axe x,x axis,x-achse,asse x
axe x sans option finition,x axis without finishing option,x achse ohne Option Schlichten,asse x senza opzione finitura
axe x y z,axes x y z,Achsen X Y Z,assi X Y Z
axe xavec option finition,x axis with finishing option,X-Achse mit Finish-Option,asse x con opzione di finitura
axe xsans option finition,x axis without finishing option,X-Achse ohne Finish-Option,asse x senza opzione di finitura
axe y,y axis,y-achse,asse y
axe z,z axis,Z-Achse,asse z
axe z sans option finition,z axis without finishing option,z achse ohne option schlichten,asse z senza opzione finitura
axe zavec option finition,z axis with finishing option,Z-Achse mit Finish-Option,asse z con opzione di finitura
axe zp,zp axis,zp achse,asse zp
axe zsans option finition,z axis without finishing option,Z-Achse ohne Finish-Option,asse z senza opzione di finitura
axes,axes,Achsen,assi
axes arrosage broches,spindle coolant supply axes,achsen kühlmittelzufuhr spindeln,assi innaffiamento mandrini
axes arrêtés,axes stopped,achsen gestoppt,assi arrestati
axes cnc,cnc axes,cnc-achsen,assi cnc
axes cnc pas en place,cnc axes not in position,cnc achsen nicht in position,assi cnc non in posizione
axes enclenchés,axes engaged,achsen eingeschaltet,assi attivati
axes linéaires hydrostatiques,hydrostatic linear axes,hydrostatische lineare achsen,assi lineari idrostatici
axes machine,machine axes,Maschinenachsen,assi macchina
axes numériques,numerical axes,numerische Achsen,assi numerici
axes numériques machine,machine numerical axes,numerische Maschinenachsen,assi numerici macchina
axes numériques robot,robot numerical axes,numerische Roboterachsen,assi numerici robot
axes position,axes position,achsenposition,posizione degli assi
axes robot,robot axes,Roboterachsen,assi robot
axes sélectionnés,selected axes,ausgewählte achsen,assi selezionati
axes x y z,axes x y z,achsen x y z,assi x y z
axes xw,xw axes,xw-Achsen,assi xw
axis,axis,Achse,asse
axis limit,axis limit,achsbegrenzung,limite degli assi
axis security position,axis security position,Achsensicherheitsposition,posizione di sicurezza dell'asse
axis zero reset,axis zero reset,Achsen-Nullpunkt-Reset,azzeramento dell'asse
b cassette brut chargement,b blanks cassette loading,b rohteilkassette laden,b cassetta grezzo carico
b gauche,b left,b links,b a sinistra
b réglage par palpage,b setting by probing,b einstellung durch tasten,b regolazione mediante tastatura
b étape y u,b y u step,b y u Schritt,b fase y u
bac,tank,Behälter,vasca
backup,backup,backup,backup
backup path,backup path,backup pfad,percorso di backup
backupdateb backupb,backupdateb backupb,backupdateb backupb,backupdateb backupb
bague,ring,Ring,anello
bague arrière,back ring,hinterer Ring,anello posteriore
bague cannelée,fluted ring,gerillter Ring,boccola scanalata
bague cannelée a,splined ring a,geriffelten ring a,anello scanalato a
bague dadaptation,adapter ring,Adapterring,anello di adattamento
bague dappui,support ring,Stützring,anello di appoggio
bague dextraction,extraction ring,Abziehring,anello di estrazione
bague supérieure,upper ring,oberer ring,anello superiore
bagues,rings,Ringe,anelli
balayage,sweep,Abtastung,scansione
balise lumineuse,stack light,Signalsäule,segnale luminoso
banc mpm,mpm bench,MPM-Bank,banco MPM
bande bleue,blue band,blue band,banda blu
bandeau,grinding face,belag,fascia abrasiva
bar,bar,bar,bar
bar mpa,bar mpa,bar mpa,bar mpa
barre doutils,toolbar,Symbolleiste,barra di strumenti
barre d'état,status bar,Statusleiste,barra di stato
barreau,blank,Rohling,cilindretto
barreau avant meulage,blank before grinding,Rohling vor dem Schleifen,cilindretto prima della rettifica
barreau extrudés,extruded blanks,Strangpressrohlinge,semilavorati estrusi
barreau personnalisé,customized blank,benutzerdefinierter rohling,cilindretto personalizzato
barreau à meuler,grinding blank,zu schleifender rohling,cilindretto da molare
barreaux,blanks,Rohlinge,cilindretti
barreaux cylindriques sans centres,cylindrical centerless blanks,zylindrische centerless rohlinge,barre cilindriche senza centri
barreaux très longs,very long blanks,sehr lange Rohlinge,cilindretti molto lunghi
barreaux ébauches,blanks,Rohlinge Vorstufe,cilindretti sgrossature
bascule entre les différentes fenêtres,toggle between the different windows,wechselt zwischen den unterschiedlichen Fenstern,passa da una finestra all'altra
basculement poche magasin robot,robot magazine pocket tilting,Kippen der Magazintasche des Roboters,oscillazione della tasca del magazzino robot
basculer entre les langues,toggle between languages,Sprache umstellen,passare da una lingua all'altra
basculer sur,switch to,umschalten auf,passare a
base,base,Grundrahmen,base
base coulissante,sliding base,Gleitschlitten,base scorrevole
basic course,basic course,Grundkurs,corso base
basse pression,low pressure,Niederdruck,bassa pressione
batch files,batch files,Stapeldateien,file batch
batterie,battery,Batterie,batteria
batterie robot,robot battery,Roboterbatterie,batteria robot
batterie robot fanuc,fanuc robot battery,batterie fanuc roboter,batteria robot fanuc
batterie usagée,spent battery,verbrauchte Batterie,batteria esausta
batteries,batteries,batterien,batterie
batteries usagées retirées,spent batteries removed,gebrauchte batterien entfernt,batterie usate rimosse
